context,fact,annotators,response,model,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall
"hello . how are you today ?
i am a geek , because i love programming study for it now
i am a construction worker . i do not know much about computers
i am doing good , and you ? i also teach swimming locally
that must be interesting . i don't have time outside of house building to do much
that is fine , do you like death metal music ?
no , not really . i'm more into stuff from the eighties .
i see , i'm from india and you ?
ohio . pretty boring , really . just me and my 5 cats . do you have pets ?
do you like eighties music ? i love it .
yep . absolutely . great stuff . bon jovi , poison , journey . . . all the hair bands
no , i had a dog and a turtle in the past
that is cool . why don't you have pets now ?
yeah , i love those bands , you like hard stuff ?
like metallica ? they are definitely cool .
","your persona: i am studying to be a computer programmer.
your persona: i am a swim coach at my local pool.
your persona: my favorite music genre is death metal.
your persona: my family and i are from india.
","['shikib', 'maxine', 'mckenna']","i do not want to talk about my pets
",Original Ground Truth,1,3,2,1,0,2
"hello . how are you today ?
i am a geek , because i love programming study for it now
i am a construction worker . i do not know much about computers
i am doing good , and you ? i also teach swimming locally
that must be interesting . i don't have time outside of house building to do much
that is fine , do you like death metal music ?
no , not really . i'm more into stuff from the eighties .
i see , i'm from india and you ?
ohio . pretty boring , really . just me and my 5 cats . do you have pets ?
do you like eighties music ? i love it .
yep . absolutely . great stuff . bon jovi , poison , journey . . . all the hair bands
no , i had a dog and a turtle in the past
that is cool . why don't you have pets now ?
yeah , i love those bands , you like hard stuff ?
like metallica ? they are definitely cool .
","your persona: i am studying to be a computer programmer.
your persona: i am a swim coach at my local pool.
your persona: my favorite music genre is death metal.
your persona: my family and i are from india.
","['shikib', 'maxine', 'mckenna']","yes ! i love blasting death metal while programming .
",New Human Generated,1,3,3,3,1,5
"hey . where are you from ? i'm from a farm in wisconsin
i love ice cream what is your favorite ? mine is chocolate
mine is mint chocolate chip
","your persona: my wife and kids are the best.
your persona: my favorite ice cream flavor is chocolate.
your persona: i've three children.
your persona: i'm a plumber.
your persona: i love going to the park with my three children and my wife.
","['shikib', 'maxine', 'mckenna']","i love wife and my kids they love chocolate ice cream also
",Original Ground Truth,1,3,2,3,1,4
"hey . where are you from ? i'm from a farm in wisconsin
i love ice cream what is your favorite ? mine is chocolate
mine is mint chocolate chip
","your persona: my wife and kids are the best.
your persona: my favorite ice cream flavor is chocolate.
your persona: i've three children.
your persona: i'm a plumber.
your persona: i love going to the park with my three children and my wife.
","['shikib', 'maxine', 'mckenna']","my three kids love mint chocolate chip ! 
",New Human Generated,1,3,3,3,1,5
"hi . how are you ?
hello , i am very well . and you ?
i am good . do you have a favorite band ?
i do , i love metallica , i never heard them in india .
i love the rolling stones . i see their concert every year .
they are great too . so are the chili peppers .
yes . they're . what do you do ?
i am in college , studying it .
i'm too . economics major .
very nice . i'd love to travel .
that would be great ! we just bought a house so no travel soon
i am looking at a house as well .
i'm married and have two kids . we needed more space .
i'd like children and a husband one day .
i follow a raw diet . do you ?
","your persona: i'm a swim coach at my local pool.
your persona: my family and i are from india.
your persona: i'm studying to be a computer programmer.
your persona: my mother is very traditional while i prefer to be more free spirited.
","['shikib', 'maxine', 'mckenna']","oh no . i prepare traditional dishes .
",Original Ground Truth,1,3,3,3,0,5
"hi . how are you ?
hello , i am very well . and you ?
i am good . do you have a favorite band ?
i do , i love metallica , i never heard them in india .
i love the rolling stones . i see their concert every year .
they are great too . so are the chili peppers .
yes . they're . what do you do ?
i am in college , studying it .
i'm too . economics major .
very nice . i'd love to travel .
that would be great ! we just bought a house so no travel soon
i am looking at a house as well .
i'm married and have two kids . we needed more space .
i'd like children and a husband one day .
i follow a raw diet . do you ?
","your persona: i'm a swim coach at my local pool.
your persona: my family and i are from india.
your persona: i'm studying to be a computer programmer.
your persona: my mother is very traditional while i prefer to be more free spirited.
","['shikib', 'maxine', 'mckenna']","i don't watch my diet , but i spend a lot of time at my local pool . i'm a swim coach !
",New Human Generated,1,3,3,3,1,5
"hi ! i don't like the color orange .
hello . i like to shoot hoops , so orange balls are good with me .
that's amazing . i like dancing on weekends . you ?
right now i am applying for jobs , i want to work in a restaurant .
that is amazing . good luck . i do not like fashion though .
i get you , my favorite rapper is pretty stylish , travis scott .
i totally like travis . i liked doing chemistry too
awesome . my mom wanted to be a chemist , but ended up a dentist ! go figure !
it seems to be hard to be a chemist . what do you do ?
unemployed at the moment , i really want to work at a snazzy restaurant .
you will get it . do not worry . i now work in a nice bookstore .
","your persona: my mother is a dentist.
your persona: my favourite artist is travis scott.
your persona: i like playing basketball.
your persona: i'm currently looking for a job preferably at a restaurant.
","['shikib', 'maxine', 'mckenna']","i love to read . i'd rack up a big bill working in a bookstore .
",Original Ground Truth,1,3,3,3,0,4
"hi ! i don't like the color orange .
hello . i like to shoot hoops , so orange balls are good with me .
that's amazing . i like dancing on weekends . you ?
right now i am applying for jobs , i want to work in a restaurant .
that is amazing . good luck . i do not like fashion though .
i get you , my favorite rapper is pretty stylish , travis scott .
i totally like travis . i liked doing chemistry too
awesome . my mom wanted to be a chemist , but ended up a dentist ! go figure !
it seems to be hard to be a chemist . what do you do ?
unemployed at the moment , i really want to work at a snazzy restaurant .
you will get it . do not worry . i now work in a nice bookstore .
","your persona: my mother is a dentist.
your persona: my favourite artist is travis scott.
your persona: i like playing basketball.
your persona: i'm currently looking for a job preferably at a restaurant.
","['shikib', 'maxine', 'mckenna']","that's awesome ! anyway , i'm going to go play basketball now .
",New Human Generated,1,3,3,3,1,5
"hello . do you speak another language ?
hi , i love sports because my parents are athletic
my dad is works with electronics . i love the guitar and the violin
","your persona: my parents were both very athletic.
your persona: i got a new job just yesterday to be a life coach.
your persona: i love running and preparing for marathons.
your persona: i'm a clean eater.
","['shikib', 'maxine', 'mckenna']","i do speak another language and you ?
",Original Ground Truth,1,3,2,2,0,3
"hello . do you speak another language ?
hi , i love sports because my parents are athletic
my dad is works with electronics . i love the guitar and the violin
","your persona: my parents were both very athletic.
your persona: i got a new job just yesterday to be a life coach.
your persona: i love running and preparing for marathons.
your persona: i'm a clean eater.
","['shikib', 'maxine', 'mckenna']","wow you're very musical ! i recently got hired as a life coach !
",New Human Generated,1,3,3,3,1,5
"hello i am 60 years old
hi ! i just sat down to listen to some classical music .
i love classical music as a librarian its my favorite
being a christian i also like christian rock . do you like to read ?
i love to read , i have been to spain and while there i read more than ever
never been there . i love to ride on my tractor . i love the outdoors .
i'll be retiring in a few years , do you like camping ?
i do ! i am very different from my sister . she is a pole dancer in a club .
that is a big difference . when you camp , how do you cook ?
with a campfire and cast iron pans .
i will love relaxing in nature .
i just purchased a beautiful red sweater . red is my absolute favorite color .
that's perfect for the holidays . i love to sew sweaters and hoodies .
i love to crochet ! it is time to start thinking about the holidays !
yes , i sometimes use a loom for crochet too .
","your persona: i can drive a tractor.
your persona: i enjoy listening to classical music.
your persona: my favorite color is red.
your persona: i'm a christian.
your persona: my sister is a pole dancer.
","['shikib', 'maxine', 'mckenna']","i never used a loom but will have to try sometime .
",Original Ground Truth,1,3,3,3,0,5
"hello i am 60 years old
hi ! i just sat down to listen to some classical music .
i love classical music as a librarian its my favorite
being a christian i also like christian rock . do you like to read ?
i love to read , i have been to spain and while there i read more than ever
never been there . i love to ride on my tractor . i love the outdoors .
i'll be retiring in a few years , do you like camping ?
i do ! i am very different from my sister . she is a pole dancer in a club .
that is a big difference . when you camp , how do you cook ?
with a campfire and cast iron pans .
i will love relaxing in nature .
i just purchased a beautiful red sweater . red is my absolute favorite color .
that's perfect for the holidays . i love to sew sweaters and hoodies .
i love to crochet ! it is time to start thinking about the holidays !
yes , i sometimes use a loom for crochet too .
","your persona: i can drive a tractor.
your persona: i enjoy listening to classical music.
your persona: my favorite color is red.
your persona: i'm a christian.
your persona: my sister is a pole dancer.
","['shikib', 'maxine', 'mckenna']","cool ! do you celebrate christmas ? as a christian , it's one of my favorite times of the year !
",New Human Generated,1,3,2,3,1,4
"i there i'm from pennsylvania . how about you ?
i'm in ohio . we are almost neighbors .
i know . do you have any kids ? i am expecting my first child soon .
congratulations ! i do not have any kids . the musician lifestyle is too hard for that .
oh that sounds exciting . i just became a pa 3 months ago . my job is boring .
i'm sorry to hear that . is there something you would rather be doing ?
making documentaries because i love them .
wow . that sounds pretty interesting . what subjects would you focus on ?
my husband and his job
wow . he must be a pretty interesting guy if you are going to do a documentary .
he is the best that's why i let him impregnate me
","your persona: my favorite spanish word is trabajo.
your persona: i also study languages.
your persona: my next language to study is french.
your persona: i am a musician.
your persona: one of the languages that i am currently studying is spanish.
","['shikib', 'maxine', 'mckenna']","so what else do you like to do besides make documentaries ?
",Original Ground Truth,1,3,3,2,0,4
"i there i'm from pennsylvania . how about you ?
i'm in ohio . we are almost neighbors .
i know . do you have any kids ? i am expecting my first child soon .
congratulations ! i do not have any kids . the musician lifestyle is too hard for that .
oh that sounds exciting . i just became a pa 3 months ago . my job is boring .
i'm sorry to hear that . is there something you would rather be doing ?
making documentaries because i love them .
wow . that sounds pretty interesting . what subjects would you focus on ?
my husband and his job
wow . he must be a pretty interesting guy if you are going to do a documentary .
he is the best that's why i let him impregnate me
","your persona: my favorite spanish word is trabajo.
your persona: i also study languages.
your persona: my next language to study is french.
your persona: i am a musician.
your persona: one of the languages that i am currently studying is spanish.
","['shikib', 'maxine', 'mckenna']","wow . i'm interested in languages and love to learn them . i would definitely watch a documentary about languages !
",New Human Generated,1,3,3,3,1,5
"hello ! are you interested in adopting a rescued bunny ?
i love bunnies but i'm busy moving into a new apartment with my boyfriend
i'd have loved to live with my girlfriend before i went into the navy
the navy sounds tough . i teach elementary school .
i only joined because i love the color . i much prefer working with the bunny rescue , now .
i would like to take pictures of the bunnies . do you help alot of rabbits ?
yes , by volunteering and donating to them each month . what do take pictures of ?
i just enjoy photography and the colors red and silver .
i've a silver eared bunny you would love , with a red , white , and navy blue bow .
","your persona: i am fluent in english spanish and french.
your persona: my favorite colors are red and silver.
your persona: i'm interested in photography and like taking pictures.
your persona: my boyfriend and i are moving into an apartment together next week.
your persona: i'm an elementary school teacher.
","['shikib', 'maxine', 'mckenna']","your bunny sounds adorable . bunnies are very gentle and quiet animals
",Original Ground Truth,1,3,3,3,0,5
"hello ! are you interested in adopting a rescued bunny ?
i love bunnies but i'm busy moving into a new apartment with my boyfriend
i'd have loved to live with my girlfriend before i went into the navy
the navy sounds tough . i teach elementary school .
i only joined because i love the color . i much prefer working with the bunny rescue , now .
i would like to take pictures of the bunnies . do you help alot of rabbits ?
yes , by volunteering and donating to them each month . what do take pictures of ?
i just enjoy photography and the colors red and silver .
i've a silver eared bunny you would love , with a red , white , and navy blue bow .
","your persona: i am fluent in english spanish and french.
your persona: my favorite colors are red and silver.
your persona: i'm interested in photography and like taking pictures.
your persona: my boyfriend and i are moving into an apartment together next week.
your persona: i'm an elementary school teacher.
","['shikib', 'maxine', 'mckenna']","it sounsd great ! maybe i can keep it as a class pet at my elementary school .
",New Human Generated,1,3,3,3,1,5
"hello hope your having a good night tonight ? i know i am .
that is good ! i am watching football highlights .
really what teams . and who are you rooting for .
i'm a green bay packer fan . do you like football ?
no i am not a fan but my son is .
how many kids do you have ?
2 children both fully grow . they never drop by .
i have kids too . i also have a couple pets .
pets ? what kind dogs cats fish or birds ?
","your persona: i have a children and a dogs.
your persona: i own a house in florida.
your persona: i enjoy american sports.
your persona: i am a male.
","['shikib', 'maxine', 'mckenna']","i've two dogs . what about you ?
",Original Ground Truth,1,3,3,3,1,5
"hello hope your having a good night tonight ? i know i am .
that is good ! i am watching football highlights .
really what teams . and who are you rooting for .
i'm a green bay packer fan . do you like football ?
no i am not a fan but my son is .
how many kids do you have ?
2 children both fully grow . they never drop by .
i have kids too . i also have a couple pets .
pets ? what kind dogs cats fish or birds ?
","your persona: i have a children and a dogs.
your persona: i own a house in florida.
your persona: i enjoy american sports.
your persona: i am a male.
","['shikib', 'maxine', 'mckenna']","i have a dog . i love to play catch with him in my front yard !
",New Human Generated,1,3,3,3,1,5
"my name is joan , and i live in illinois . i'm a kindergarten teacher .
hello joan ! i'm chrissy from minnesota . i'm building a robot for my work .
that sounds exciting ! i'm clumsy with electronics .
","your persona: i helped design the game starcraft.
your persona: i'm working on a building a robot to be my body double.
your persona: i have an allergy to water.
your persona: i am a famous twitch streamer.
your persona: i am a recluse.
","['shikib', 'maxine', 'mckenna']","this robot will help me because i'm allergic to water ! do you enjoy teaching ?
",Original Ground Truth,1,3,3,3,1,5
"my name is joan , and i live in illinois . i'm a kindergarten teacher .
hello joan ! i'm chrissy from minnesota . i'm building a robot for my work .
that sounds exciting ! i'm clumsy with electronics .
","your persona: i helped design the game starcraft.
your persona: i'm working on a building a robot to be my body double.
your persona: i have an allergy to water.
your persona: i am a famous twitch streamer.
your persona: i am a recluse.
","['shikib', 'maxine', 'mckenna']","i love electronics . i helped design the game starcraft ! have you played it ?
",New Human Generated,1,3,3,3,1,5
"hi , i am taking a break from studying my computer programming
what is computer programming , i am new to the united states .
i'm from india so i understand . it is telling computers how to run programs
cool , i was born in somalia , but my aunt helped me escape .
that was nice of her ! my aunt taught me how to swim
i had to get away , i was forced to marry young , but now i am happy
did you take your spouse with you ?
no , i had to escape him . it was not fun times .
i am sorry . i am glad you are safe now
thank you , do you do anything in your free time ?
i love death metal music . i listen and write some too .
death metal , is that the music you get whip lash from ?
yeah ! i also coach competitive swimming .
","your persona: i was forced to marry when i was a.
your persona: my aunt helped me escape when i was of.
your persona: i was born in somalia.
your persona: now i live in the united states.
","['shikib', 'maxine', 'mckenna']","swimming is fun ! have you met any olympians ?
",Original Ground Truth,1,3,3,3,0,5
"hi , i am taking a break from studying my computer programming
what is computer programming , i am new to the united states .
i'm from india so i understand . it is telling computers how to run programs
cool , i was born in somalia , but my aunt helped me escape .
that was nice of her ! my aunt taught me how to swim
i had to get away , i was forced to marry young , but now i am happy
did you take your spouse with you ?
no , i had to escape him . it was not fun times .
i am sorry . i am glad you are safe now
thank you , do you do anything in your free time ?
i love death metal music . i listen and write some too .
death metal , is that the music you get whip lash from ?
yeah ! i also coach competitive swimming .
","your persona: i was forced to marry when i was a.
your persona: my aunt helped me escape when i was of.
your persona: i was born in somalia.
your persona: now i live in the united states.
","['shikib', 'maxine', 'mckenna']","that sounds very fun ! i never learned to swim in somalia , maybe i'll try it now .
",New Human Generated,1,3,3,3,1,5
"hello , how are you ? where abouts are you ?
i'm in chicago . where are you ?
in scotland . is chicago as cold and wet as it is here ?
yes , but i am allergic to water . this is very unfortunate .
it is . how do you keep clean ?
i don't go outside much . i stay clean this way .
i want to go outside . i managed to break my arm skateboarding so i m stuck indoors .
i only stream to my 100 , 000 subscribers on twitch . i do not play real sports
100k is very impressive . how long did it take to get that many ?
since i helped make starcraft , my name was already out there . 6 months .
made as in developed ? that s very cool .
","your persona: i helped design the game starcraft.
your persona: i've an allergy to water.
your persona: i am a recluse.
your persona: i'm a famous twitch streamer.
your persona: i am working on a building a robot to be my body double.
","['shikib', 'maxine', 'mckenna']","designed , yes . now i'm making a robot to be a body double of myself .
",Original Ground Truth,1,3,3,3,1,5
"hello , how are you ? where abouts are you ?
i'm in chicago . where are you ?
in scotland . is chicago as cold and wet as it is here ?
yes , but i am allergic to water . this is very unfortunate .
it is . how do you keep clean ?
i don't go outside much . i stay clean this way .
i want to go outside . i managed to break my arm skateboarding so i m stuck indoors .
i only stream to my 100 , 000 subscribers on twitch . i do not play real sports
100k is very impressive . how long did it take to get that many ?
since i helped make starcraft , my name was already out there . 6 months .
made as in developed ? that s very cool .
","your persona: i helped design the game starcraft.
your persona: i've an allergy to water.
your persona: i am a recluse.
your persona: i'm a famous twitch streamer.
your persona: i am working on a building a robot to be my body double.
","['shikib', 'maxine', 'mckenna']","thank you . now i'm building a robot to be my body double !
",New Human Generated,1,3,3,3,1,5
"hello how are you today
","your persona: i have three children.
your persona: i'm a plumber.
your persona: my wife and kids are the best.
your persona: my favorite ice cream flavor is chocolate.
","['shikib', 'maxine', 'mckenna']","i'm doing very well thank you . how are you ?
",Original Ground Truth,1,3,3,1,0,4
"hello how are you today
","your persona: i have three children.
your persona: i'm a plumber.
your persona: my wife and kids are the best.
your persona: my favorite ice cream flavor is chocolate.
","['shikib', 'maxine', 'mckenna']","i'm good , just spending time with my amazing wife and kids . how are you ?
",New Human Generated,1,3,3,2,1,5
"hello , how are you doing today ?
i am okay . i wish my children would visit more , though .
i am sorry to hear that . i turn to my spouse in times like that .
i do , as well . though my husband liked me more when i was younger and prettier .
that's unfortunate . have you talked to anyone about this ?
","your persona: i have two grown children who never visit.
your persona: i used to be pretty but time has not been kind.
your persona: i'm a 56 year old woman.
your persona: i used to be a painter but now i'm a housekeeper.
","['shikib', 'maxine', 'mckenna']","no , i keep to myself . my housekeeping job isn't exactly a social one .
",Original Ground Truth,1,3,3,2,1,5
"hello , how are you doing today ?
i am okay . i wish my children would visit more , though .
i am sorry to hear that . i turn to my spouse in times like that .
i do , as well . though my husband liked me more when i was younger and prettier .
that's unfortunate . have you talked to anyone about this ?
","your persona: i have two grown children who never visit.
your persona: i used to be pretty but time has not been kind.
your persona: i'm a 56 year old woman.
your persona: i used to be a painter but now i'm a housekeeper.
","['shikib', 'maxine', 'mckenna']","i haven't . i'm 56 years old so i've learned to deal with these things by now .
",New Human Generated,1,3,3,3,1,5
"hi my name is jill how are you today ?
","your persona: i am 19 and i cannot wait to move out 19 my parents home.
your persona: i just want to have fun with my friends.
your persona: i do not drink or do drugs or anything.
your persona: i work took i've a part time job at burger king.
","['shikib', 'maxine', 'mckenna']","i am doing well . about to go to my job at burger king .
",Original Ground Truth,1,3,3,3,1,5
"hi my name is jill how are you today ?
","your persona: i am 19 and i cannot wait to move out 19 my parents home.
your persona: i just want to have fun with my friends.
your persona: i do not drink or do drugs or anything.
your persona: i work took i've a part time job at burger king.
","['shikib', 'maxine', 'mckenna']","i'm great . just finished my part time job at burger king . how are you ?
",New Human Generated,1,3,3,3,1,5
"hey , i enjoy mowing lawns in the summer
hello . how are you ? my pet turtle and i are sitting here .
my turtle and myself love to grill outside
mommy says to pick up toys . i do not like to . i want to play dolls !
yeah , i have been retired for a long time ! years !
","your persona: i have a pet turtle.
your persona: i like to play with my dolls.
your persona: i don't pick up my toys.
your persona: my best friend lives next door.
","['shikib', 'maxine', 'yulan']","i want to go next door and play with my best friend , not work !
",Original Ground Truth,1,3,3,3,1,5
"hey , i enjoy mowing lawns in the summer
hello . how are you ? my pet turtle and i are sitting here .
my turtle and myself love to grill outside
mommy says to pick up toys . i do not like to . i want to play dolls !
yeah , i have been retired for a long time ! years !
","your persona: i have a pet turtle.
your persona: i like to play with my dolls.
your persona: i don't pick up my toys.
your persona: my best friend lives next door.
","['shikib', 'maxine', 'yulan']","cool . do you live close to your friends ? my best friend is next door !
",New Human Generated,1,3,3,3,1,5
"hello . my softball game was canceled due to the hurricane .
oh how are you doing ? i'm sorry to hear that .
doing great . daddy was in the army , he taught me things .
i once lived in my moms house .
mine passed when i was eight .
","your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i live in a house.
your persona: i like to eat hamburgers and french fries.
","['shikib', 'maxine', 'yulan']","i'm so sorry mines too in my twenties .
",Original Ground Truth,1,2,3,2,0,4
"hello . my softball game was canceled due to the hurricane .
oh how are you doing ? i'm sorry to hear that .
doing great . daddy was in the army , he taught me things .
i once lived in my moms house .
mine passed when i was eight .
","your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i live in a house.
your persona: i like to eat hamburgers and french fries.
","['shikib', 'maxine', 'yulan']","sorry to hear that ! my boyfriend lost his mom at a young age too !
",New Human Generated,1,3,3,3,1,5
"hello . can you move objects with your mind ?
hi how are you doing ? i am okay no i wish i could .
i'm great . i had heart surgery and woke up with weird superpowers .
i'm so sorry to hear that i believe your powers are from the lord .
i do not know . my heart was outside of my body now it is in .
i tend to watch large amounts of t . v . on free times .
i love the walking dead . are you a fan ?
yes i am a fan and love zombie and vampire movies too
i like captain america and star wars .
what super powers did you awake with ?
moving objects with my mind .
ok that's cool and i like going to the gym most days .
i like to swim and walk on the beach .
","your persona: i watch too much tv in spare time.
your persona: i go to the gym most days just to socialize.
your persona: i have never had a steady relationship.
your persona: i like to spend my money on cars.
your persona: i work from home.
","['shikib', 'maxine', 'yulan']","i've a job inside my apartment i like working home .
",Original Ground Truth,1,3,2,3,1,4
"hello . can you move objects with your mind ?
hi how are you doing ? i am okay no i wish i could .
i'm great . i had heart surgery and woke up with weird superpowers .
i'm so sorry to hear that i believe your powers are from the lord .
i do not know . my heart was outside of my body now it is in .
i tend to watch large amounts of t . v . on free times .
i love the walking dead . are you a fan ?
yes i am a fan and love zombie and vampire movies too
i like captain america and star wars .
what super powers did you awake with ?
moving objects with my mind .
ok that's cool and i like going to the gym most days .
i like to swim and walk on the beach .
","your persona: i watch too much tv in spare time.
your persona: i go to the gym most days just to socialize.
your persona: i have never had a steady relationship.
your persona: i like to spend my money on cars.
your persona: i work from home.
","['shikib', 'maxine', 'yulan']","swimming sounds fun . i honestly just go to the gym to socialize ! 
",New Human Generated,1,3,3,3,1,5
"good morning to you how are you today
i'm well , glad to type to you . how are you ?
i'm great i'm in school and i'm the queen of homecoming
","your persona: i like meditation.
your persona: i've not spoken in three months.
your persona: i quit my job to pursue my spirituality full time.
your persona: i'm a buddhist.
","['shikib', 'maxine', 'yulan']","that's good . i'm a spiritual person , are you ?
",Original Ground Truth,1,3,3,3,1,5
